Bill,Fir Start Date,Bill Date,Accounting Date,Due Date,Total,Total Currency,Outstanding,Outstanding Currency,Country,Operator,Operator Ref ID,Call Sign,Aircraft Registration,Origin ICAO Code,Origin IATA Code,Destination ICAO Code,Destination IATA Code,Aircraft Manufacturer,Aircraft Model,Aircraft Model ICAO Code,Aircraft Model MTOW (kg),Fir Started,Fir Ended,Duration,Flight ID,Flight Segment ID,Flight Segment Observed Point Count,Flight Segment Point Count,Flight Segment Duration Seconds,Flight Duration Seconds,Flight Length Km,Flight Path Observed Point Count,Flight Path Point Count,Manually Updated,Flight Takeoff,Flight Landing,Departure Scheduled Utc,Arrival Scheduled Utc
EKP9KMPQM7,2024-09-04 04:45:00 UTC,,,,345.00,USD,345.00,USD,Somalia,TURK HAVA YOLLARI (TURKISH AIRLINES CO.),MX37XUPJXH,THY646,TCLCJ,LTFM,IST,HCMM,MGQ,BOEING,BOEING 737 MAX 8,B38M,82191.0,2024-09-04 @ 04:45 UTC,2024-09-04 @ 05:39 UTC,00:54:00,a70c0ddf-702c-4f5c-9b0a-d412fdeac07d,51f90d2b-d23d-4360-9a9c-4821951c8f81,46,46,3240,22440,4984.66,178,178,false,2024-09-03 23:26:00 UTC,2024-09-04 05:40:00 UTC,2024-09-03 23:05:00 UTC,2024-09-04 06:05:00 UTC
A2LLEDCA2D,2024-09-04 04:45:00 UTC,,,,345.00,USD,345.00,USD,Somalia,Fanjet Express,DPFZQUVN42,DMQ301,5YFQB,HKJK,NBO,HCMM,MGQ,BOEING,BOEING 737-400,B734,62820.0,2024-09-04 @ 04:45 UTC,2024-09-04 @ 05:30 UTC,00:45:00,95843e95-37cd-450a-9e77-d09706e2feb6,1e9ada41-87f0-412f-b3a1-9ac7fc590fa4,47,47,2700,5100,1017.79,79,79,false,2024-09-04 04:06:00 UTC,2024-09-04 05:31:00 UTC,,
W77LTD3K4L,2024-09-04 00:27:00 UTC,,,,345.00,USD,345.00,USD,Somalia,ETHIOPIAN AIRLINES CORPORATION,XU4PWEKVF7,ETH695,ETAZO,OPKC,KHI,HAAB,ADD,BOEING,BOEING 737 MAX 8,B38M,82191.0,2024-09-04 @ 00:27 UTC,2024-09-04 @ 00:27 UTC,00:00:00,8558c2cf-e062-4892-baa0-139e774daae6,d02b5ff3-4a45-4342-98ce-47ca3390f6fe,4,4,0,16380,3712.26,150,150,false,2024-09-03 21:00:00 UTC,2024-09-04 01:33:00 UTC,2024-09-03 21:00:00 UTC,2024-09-04 02:30:00 UTC
HL2XTWPX3W,2024-09-03 14:49:00 UTC,,,,275.00,USD,275.00,USD,Somalia,PREMIER AIRLINES,PD9QYZYP22,5YSKX,5YSKX,HKJK,NBO,,,FOKKER,FOKKER 70,F70,36740.0,2024-09-03 @ 14:49 UTC,2024-09-03 @ 15:30 UTC,00:41:00,28db181b-c489-484b-a10f-96c12a6ca7d8,b19ced05-2a40-443b-a68d-671cbfa9554c,43,43,2460,5220,994.94,83,83,false,2024-09-03 14:04:00 UTC,2024-09-03 15:31:00 UTC,,
JMLMFYJ43T,2024-09-04 02:30:00 UTC,,,,395.00,USD,395.00,USD,Somalia,ETHIOPIAN AIRLINES CORPORATION,XU4PWEKVF7,ETH611,ETASG,VABB,BOM,HAAB,ADD,BOEING,BOEING Dreamliner (Srs.8),B788,228000.0,2024-09-04 @ 02:30 UTC,2024-09-04 @ 02:30 UTC,00:00:00,47f2d671-6b9f-484c-a036-3abf38913b73,bbc8f04d-7509-448a-8749-6aa4a0b38274,2,2,0,15600,3871.49,95,95,false,2024-09-03 23:07:00 UTC,2024-09-04 03:27:00 UTC,2024-09-03 22:35:00 UTC,2024-09-04 04:00:00 UTC
3LDJKUJWFV,2024-09-27 09:39:00 UTC,,,,345.00,USD,345.00,USD,Somalia,OMAN AIR,PWYJYKMFN9,QTR42L,A4ODI,HTDA,DAR,OTHH,DOH,BOEING,BOEING 737-200,B732,52390.0,2024-09-27 @ 09:39 UTC,2024-09-27 @ 11:46 UTC,02:07:00,6cc02958-a72e-4fae-834f-8afe6e2fa77d,bec32017-a933-489b-8546-c1893746ba9f,125,125,7620,19140,4424.16,231,231,false,2024-09-27 08:50:00 UTC,2024-09-27 14:09:00 UTC,2024-09-27 08:45:00 UTC,2024-09-27 14:30:00 UTC
4CKZJ7PU4P,2024-09-27 11:55:00 UTC,,,,345.00,USD,345.00,USD,Somalia,ETHIOPIAN AIRLINES CORPORATION,XU4PWEKVF7,ETH3693,ETAYL,VOMM,MAA,HAAB,ADD,BOEING,BOEING 737-800,B738,70530.0,2024-09-27 @ 11:55 UTC,2024-09-27 @ 11:55 UTC,00:00:00,81823e7b-df52-4e6c-87d9-8403cd092d1f,f4f4f706-4eb3-4992-863f-bd79a938bc1e,4,4,0,25320,4901.21,155,155,false,2024-09-27 06:08:00 UTC,2024-09-27 13:10:00 UTC,,
T7FCYVYWTL,2024-09-04 02:56:00 UTC,,,,395.00,USD,395.00,USD,Somalia,CORSE AIR INTERNATIONAL,N49T9VTEMP,CRL774,FHRNB,LFPO,ORY,FMEE,RUN,AIRBUS,AIRBUS A-330-900,A339,251000.0,2024-09-04 @ 02:56 UTC,2024-09-04 @ 03:39 UTC,00:43:00,ff2b4869-ebb4-4122-a2ff-deecf1753047,3035fee3-e940-4e57-9d5b-280d74842d13,44,44,2580,39540,9510.83,266,266,false,2024-09-03 19:32:00 UTC,2024-09-04 06:31:00 UTC,2024-09-03 19:15:00 UTC,2024-09-04 06:45:00 UTC
3AVCE2W7KW,2024-09-02 11:12:00 UTC,,,,245.00,USD,245.00,USD,Somalia,"BERRY AVIATION, INC. (SAN MARCOS, TX)",P979HWTMRC,RIPIT01,N480AV,HKJK,NBO,,,DE HAVILLAND CANADA,DE HAVILLAND CANADA Dash 8 (200),DH8B,16465.403031,2024-09-02 @ 11:12 UTC,2024-09-02 @ 12:17 UTC,01:05:00,a978fad0-cf5b-4848-97fe-487194a0eaf9,f3225969-8fb4-475d-b324-b56668b8c1b1,4,4,3900,7680,643.65,53,53,false,2024-09-02 10:14:00 UTC,2024-09-02 12:22:00 UTC,,
CD92VDU94U,2024-09-26 21:13:00 UTC,,,,395.00,USD,395.00,USD,Somalia,FRENCH BLUE,KKYTYFEWRV,FBU71B,FHMIB,FMEE,RUN,LFPO,ORY,AIRBUS,AIRBUS A-350-1000 WXB ,A35K,286670.0,2024-09-26 @ 21:13 UTC,2024-09-26 @ 22:14 UTC,01:01:00,98c333fd-5862-4106-832b-de6d24364484,744be39f-4381-4ae3-9dfc-a678549d88e2,44,44,3660,39960,9592.88,288,289,false,2024-09-26 18:10:00 UTC,2024-09-27 05:16:00 UTC,2024-09-26 18:10:00 UTC,2024-09-27 05:35:00 UTC
