Bill,Fir Start Date,Bill Date,Accounting Date,Due Date,Total,Total Currency,Outstanding,Outstanding Currency,Country,Operator,Operator Ref ID,Call Sign,Aircraft Registration,Origin ICAO Code,Origin IATA Code,Destination ICAO Code,Destination IATA Code,Aircraft Manufacturer,Aircraft Model,Aircraft Model ICAO Code,Aircraft Model MTOW (kg),Fir Started,Fir Ended,Duration,Flight ID,Flight Segment ID,Flight Segment Observed Point Count,Flight Segment Point Count,Flight Segment Duration Seconds,Flight Duration Seconds,Flight Length Km,Flight Path Observed Point Count,Flight Path Point Count,Manually Updated,Flight Takeoff,Flight Landing,Departure Scheduled Utc,Arrival Scheduled Utc
LZXKYX3H4Q,2024-09-17 18:48:00 UTC,,,,395.00,USD,395.00,USD,Somalia,ETHIOPIAN AIRLINES CORPORATION,XU4PWEKVF7,ETH685,ETAVB,ZSPD,PVG,HAAB,ADD,AIRBUS,AIRBUS A-350-900 XWB,A359,268000.0,2024-09-17 @ 18:48 UTC,2024-09-17 @ 18:48 UTC,00:00:00,663e784f-3e9f-481b-b16b-677fb5e98dae,0bffc650-d241-4b08-b822-ef324cf19c4d,1,2,0,39360,9080.15,121,122,false,2024-09-17 16:39:00 UTC,2024-09-18 03:35:00 UTC,2024-09-17 16:20:00 UTC,2024-09-18 03:35:00 UTC
LYUMTCALXZ,2024-09-17 15:15:00 UTC,,,,395.00,USD,395.00,USD,Somalia,QATAR AIRWAYS COMPANY,VJRFT7T74N,QTR1364,A7BHD,FAOR,JNB,OTHH,DOH,BOEING,BOEING Dreamliner (Srs.9),B789,254011.7272,2024-09-17 @ 15:15 UTC,2024-09-17 @ 17:13 UTC,01:58:00,401a1dc9-708b-4c8f-85ea-751b8df040bb,4a151a9a-f66a-4e31-aebd-ebd63b9d2118,117,117,7080,28500,6909.63,297,297,false,2024-09-17 11:45:00 UTC,2024-09-17 19:40:00 UTC,2024-09-17 11:35:00 UTC,2024-09-17 19:55:00 UTC
JJYP77P7HE,2024-09-17 22:06:00 UTC,,,,395.00,USD,395.00,USD,Somalia,QATAR AIRWAYS COMPANY,VJRFT7T74N,QTR1452,A7BCQ,,,OTHH,DOH,BOEING,BOEING Dreamliner (Srs.8),B788,228000.0,2024-09-17 @ 22:06 UTC,2024-09-17 @ 23:58 UTC,01:52:00,d2f09455-511b-4d1c-91bd-6ce4ed51f95d,57f57dc8-8d2f-4085-bbbb-c0d283121201,112,112,6720,25260,6684.27,244,245,false,2024-09-17 19:25:00 UTC,2024-09-18 02:26:00 UTC,2024-09-17 16:35:00 UTC,2024-09-17 17:45:00 UTC
PXUPQ7VE2N,2024-09-17 16:56:00 UTC,,,,395.00,USD,395.00,USD,Somalia,EMIRATES,X4MJMENRMC,UAE2H,A6EUD,FIMP,MRU,OMDB,DXB,AIRBUS,AIRBUS A-380-800,A388,560000.0,2024-09-17 @ 16:56 UTC,2024-09-17 @ 16:56 UTC,00:00:00,835e2173-8dd2-48fb-bb9f-ce54597b3fc2,74ce2766-ab86-4aba-9cde-9832d5631d17,2,2,0,22560,5272.74,131,131,false,2024-09-17 12:47:00 UTC,2024-09-17 19:03:00 UTC,2024-09-17 12:35:00 UTC,2024-09-17 19:10:00 UTC
9VNM7QKTM4,2024-09-17 06:16:00 UTC,,,,395.00,USD,395.00,USD,Somalia,EMIRATES,X4MJMENRMC,UAE797,A6ECV,OMDB,DXB,GUCY,CKY,BOEING,BOEING 777-300ER,B77W,351500.0,2024-09-17 @ 06:16 UTC,2024-09-17 @ 06:38 UTC,00:22:00,2f816cd3-0218-4488-8499-c766d65e8836,0e70acc3-0d8e-4bc4-acc5-5eae13e96ec6,25,25,1320,35340,8799.77,229,230,false,2024-09-17 04:11:00 UTC,2024-09-17 14:00:00 UTC,2024-09-17 03:50:00 UTC,2024-09-17 14:00:00 UTC
JQHHHKJDTU,2024-09-17 15:22:00 UTC,,,,345.00,USD,345.00,USD,Somalia,ETHIOPIAN AIRLINES CORPORATION,XU4PWEKVF7,ETH374,ETAPL,HCMH,HGA,HAAB,ADD,BOEING,BOEING 737-800,B738,70530.0,2024-09-17 @ 15:22 UTC,2024-09-17 @ 15:22 UTC,00:00:00,87d69e36-c0ab-4f94-b195-77d6e2ad503b,efcb7c80-c8ee-43d8-a55c-8377d59faefb,1,2,0,3000,583.1,13,14,false,2024-09-17 14:55:00 UTC,2024-09-17 15:45:00 UTC,,
TE2VPLFLMX,2024-09-17 07:57:00 UTC,,,,395.00,USD,395.00,USD,Somalia,EMIRATES,X4MJMENRMC,UAE261,A6EUI,OMDB,DXB,SBGR,GRU,AIRBUS,AIRBUS A-380-800,A388,560000.0,2024-09-17 @ 07:57 UTC,2024-09-17 @ 08:01 UTC,00:04:00,c4cf4ec0-b310-4af2-93cf-69f2a4970496,f149b4c8-ad30-4d18-9911-d27a1cc8ae2a,7,7,240,53220,13060.51,98,99,false,2024-09-17 05:48:00 UTC,2024-09-17 20:35:00 UTC,2024-09-17 05:05:00 UTC,2024-09-17 20:35:00 UTC
EAYPEVAHUF,2024-09-16 01:46:00 UTC,,,,345.00,USD,345.00,USD,Somalia,QATAR AIRWAYS COMPANY,VJRFT7T74N,QTR55N,A7AHP,OTHH,DOH,HTZA,ZNZ,AIRBUS,AIRBUS A-320 ,A320,73900.0,2024-09-16 @ 01:46 UTC,2024-09-16 @ 03:55 UTC,02:09:00,05d05511-f0d4-4ef0-9ff1-76bbf38a6f17,191f7e1c-469c-407f-a88a-7c6aa5a1e3d1,128,128,7740,19380,4340.8,230,231,false,2024-09-15 23:32:00 UTC,2024-09-16 04:55:00 UTC,,
EENFZ23PQZ,2024-09-16 15:25:00 UTC,,,,395.00,USD,395.00,USD,Somalia,ETHIOPIAN AIRLINES CORPORATION,XU4PWEKVF7,ETH852,ETAXT,FMMI,TNR,HAAB,ADD,BOEING,BOEING Dreamliner (Srs.9),B789,254011.7272,2024-09-16 @ 15:25 UTC,2024-09-16 @ 15:25 UTC,00:00:00,a78de842-2277-468e-be09-1cf6e3573140,1ac40f4c-2a7c-4e3c-9d53-fa7af18922df,1,2,0,13920,3261.93,11,12,false,2024-09-16 11:50:00 UTC,2024-09-16 15:42:00 UTC,2024-09-16 11:50:00 UTC,2024-09-16 16:30:00 UTC
23ZAWTYDCT,2024-09-14 08:47:00 UTC,,,,245.00,USD,245.00,USD,Somalia,,,7QSTC,7QSTC,HCMM,MGQ,,,DE HAVILLAND CANADA,DE HAVILLAND CANADA CC-115 Buffalo,DHC5,22316.744604,2024-09-14 @ 08:47 UTC,2024-09-14 @ 11:17 UTC,02:30:00,ef60a925-3933-4fcc-ad95-df9e00102e08,634d410f-3c32-49ba-8288-23c125207e5d,34,34,9000,9120,511.94,26,26,false,2024-09-14 08:47:00 UTC,2024-09-14 11:19:00 UTC,,
KX4HXX32PH,2024-09-17 06:50:00 UTC,,,,345.00,USD,345.00,USD,Somalia,KENYA AIRWAYS LTD.,AK4EJKM49H,KQA205,5YCYE,VABB,BOM,HKJK,NBO,BOEING,BOEING 737-800,B738,70530.0,2024-09-17 @ 06:50 UTC,2024-09-17 @ 08:28 UTC,01:38:00,169924fe-fb0a-4b73-a56f-49dbb5d33a66,89812e62-9b14-4343-8dcb-bfa80b41bfed,53,53,5880,20940,4696.1,218,218,false,2024-09-17 03:55:00 UTC,2024-09-17 09:44:00 UTC,2024-09-17 01:15:00 UTC,2024-09-17 07:30:00 UTC
PK2Y3T3D7Z,2024-09-17 17:27:00 UTC,,,,395.00,USD,395.00,USD,Somalia,EMIRATES,X4MJMENRMC,UAE248,A6EWA,SBGL,GIG,OMDB,DXB,BOEING,BOEING 777-200LR BBJ,B77L,347500.0,2024-09-17 @ 17:27 UTC,2024-09-17 @ 17:54 UTC,00:27:00,063666d8-0273-414e-97f1-635cc0e32f35,1b0c3a89-64c4-499b-9a4e-077310cc2e5c,30,30,1620,50340,12749.73,215,215,false,2024-09-17 06:17:00 UTC,2024-09-17 20:16:00 UTC,2024-09-17 06:00:00 UTC,2024-09-17 20:30:00 UTC
P9EW2AFVHQ,2024-09-17 17:01:00 UTC,,,,345.00,USD,345.00,USD,Somalia,QATAR AIRWAYS COMPANY,VJRFT7T74N,QTR1460,A7AHB,HDAM,JIB,OTHH,DOH,AIRBUS,AIRBUS A-320 ,A320,73900.0,2024-09-17 @ 17:01 UTC,2024-09-17 @ 17:20 UTC,00:19:00,da62c0e4-f8e5-4c99-8181-fe8153f10214,cdaaf6a9-7a21-4b7e-bdf3-8f2388c32f06,21,22,1140,12120,2756.1,140,141,false,2024-09-17 16:40:00 UTC,2024-09-17 20:02:00 UTC,2024-09-17 16:40:00 UTC,2024-09-17 20:50:00 UTC
K2AJQPTKKP,2024-09-17 06:23:00 UTC,,,,245.00,USD,245.00,USD,Somalia,International Committee of the Red Cross (South Sudan) ICRC,W3TERWYVH7,7QSTA,7QSTA,HCMM,MGQ,,,DE HAVILLAND CANADA,DE HAVILLAND CANADA CC-115 Buffalo,DHC5,22316.744604,2024-09-17 @ 06:23 UTC,2024-09-17 @ 08:48 UTC,02:25:00,82827549-4869-47ae-a208-5adbcf10431d,7a770e02-824a-44ad-87aa-de55d99ace72,32,32,8700,9000,436.55,28,28,false,2024-09-17 06:23:00 UTC,2024-09-17 08:53:00 UTC,,
VVPFZYHMTV,2024-09-17 18:06:00 UTC,,,,395.00,USD,395.00,USD,Somalia,QATAR AIRWAYS COMPANY,VJRFT7T74N,QTR30B,A7BAO,OTHH,DOH,HKJK,NBO,BOEING,BOEING 777-300ER,B77W,351500.0,2024-09-17 @ 18:06 UTC,2024-09-17 @ 19:30 UTC,01:24:00,f8cd88b5-d02c-408b-9eea-45051613e361,4d50fc72-ed22-43bb-97ed-30166bcd0cda,43,43,5040,17160,4047.6,205,205,false,2024-09-17 15:56:00 UTC,2024-09-17 20:42:00 UTC,2024-09-17 15:30:00 UTC,2024-09-17 20:50:00 UTC
Y2QPVMXM9X,2024-09-17 15:08:00 UTC,,,,395.00,USD,395.00,USD,Somalia,EL AL - ISRAEL AIRLINES LTD.,VVYM9N3KFU,ELY084,4XECE,VTBS,BKK,LLBG,TLV,BOEING,BOEING 777-200,B772,247210.0,2024-09-17 @ 15:08 UTC,2024-09-17 @ 16:57 UTC,01:49:00,8905ccbd-4b9c-4da0-92cf-aa1b9eedbb63,4fd7c59b-db40-460d-a507-c7d4ae95d4c9,64,64,6540,34920,9637.63,259,260,false,2024-09-17 09:58:00 UTC,2024-09-17 19:40:00 UTC,2024-09-17 09:05:00 UTC,2024-09-17 19:40:00 UTC
JUPYPPJJ7F,2024-09-17 01:59:00 UTC,,,,345.00,USD,345.00,USD,Somalia,QATAR AIRWAYS COMPANY,VJRFT7T74N,QTR55N,A7AHU,OTHH,DOH,HTZA,ZNZ,AIRBUS,AIRBUS A-320 ,A320,73900.0,2024-09-17 @ 01:59 UTC,2024-09-17 @ 04:06 UTC,02:07:00,f063d432-bbd7-4612-883f-c3adc71a3053,fa135a94-674b-4f0a-ab51-9ae0d9952a4f,126,126,7620,18720,4314.79,218,219,false,2024-09-16 23:43:00 UTC,2024-09-17 04:55:00 UTC,2024-09-16 23:10:00 UTC,2024-09-17 04:55:00 UTC
2U2ZQKQWAH,2024-09-17 08:16:00 UTC,,,,395.00,USD,395.00,USD,Somalia,AIR FRANCE,VCUKH9C3FA,AFR647,FGZNL,FMEE,RUN,LFPG,CDG,BOEING,BOEING 777-300ER,B77W,351500.0,2024-09-17 @ 08:16 UTC,2024-09-17 @ 08:56 UTC,00:40:00,0290e0dc-9564-4775-bfb1-4ce98a9fbcc0,49574ad7-4462-4a01-945c-664240578ae3,41,41,2400,39840,9704.06,323,324,false,2024-09-17 05:30:00 UTC,2024-09-17 16:34:00 UTC,2024-09-17 05:30:00 UTC,2024-09-17 17:10:00 UTC
23JEDNUEKD,2024-09-17 12:49:00 UTC,,,,395.00,USD,395.00,USD,Somalia,EMIRATES,X4MJMENRMC,UAE765,A6EBM,OMDB,DXB,FAOR,JNB,BOEING,BOEING 777-300,B773,299370.0,2024-09-17 @ 12:49 UTC,2024-09-17 @ 14:48 UTC,01:59:00,e41d45ba-dfcb-40da-b246-34bc0fe2e6cd,a23dba52-2e90-4dac-ad4c-9a7ff0a0c027,114,114,7140,26880,6721.85,302,302,false,2024-09-17 10:55:00 UTC,2024-09-17 18:23:00 UTC,2024-09-17 10:40:00 UTC,2024-09-17 18:50:00 UTC
JXQNPNCYZY,2024-09-17 16:08:00 UTC,,,,395.00,USD,395.00,USD,Somalia,QATAR AIRWAYS COMPANY,VJRFT7T74N,QTR1476,A7BCV,HTKJ,JRO,OTHH,DOH,BOEING,BOEING Dreamliner (Srs.8),B788,228000.0,2024-09-17 @ 16:08 UTC,2024-09-17 @ 17:48 UTC,01:40:00,b8f8c600-7188-4aa1-be81-73790744b194,dc4271cf-c273-4c7d-b915-a0074a53d0c2,52,52,6000,18960,5219.37,243,244,false,2024-09-17 14:55:00 UTC,2024-09-17 20:11:00 UTC,2024-09-17 14:55:00 UTC,2024-09-17 20:35:00 UTC
VAVHCH9JCH,2024-09-17 16:00:00 UTC,,,,395.00,USD,395.00,USD,Somalia,QATAR AIRWAYS COMPANY,VJRFT7T74N,QTR9N,A7ALQ,FACT,CPT,OTHH,DOH,AIRBUS,AIRBUS A-350-900 XWB,A359,268000.0,2024-09-17 @ 16:00 UTC,2024-09-17 @ 17:57 UTC,01:57:00,ef1808d9-9289-497b-bd5e-7de29ea0f30f,d8f2c0d7-0a2a-42be-bc87-5907d9f4d056,118,118,7020,33000,8211.41,383,383,false,2024-09-17 11:11:00 UTC,2024-09-17 20:21:00 UTC,2024-09-17 11:00:00 UTC,2024-09-17 20:35:00 UTC
CQVPZ4TQ3Q,2024-09-17 16:19:00 UTC,,,,275.00,USD,275.00,USD,Somalia,Vulcan Aircraft Inc.,AJ4QANVUFJ,N726AF,N726AF,HKJK,NBO,OMDB,DXB,BOMBARDIER,BOMBARDIER Global XRS Global Express BD-700,GLEX,44500.0,2024-09-17 @ 16:19 UTC,2024-09-17 @ 17:47 UTC,01:28:00,e8afce04-26cd-42a2-bc48-6ce114e8b7a4,38a5be4e-52b5-4034-8574-43b45b18e2ca,47,47,5280,17220,3847.12,209,209,false,2024-09-17 15:21:00 UTC,2024-09-17 20:08:00 UTC,,
YAEWXKEZXY,2024-09-17 17:09:00 UTC,,,,395.00,USD,395.00,USD,Somalia,QATAR AIRWAYS COMPANY,VJRFT7T74N,QTR1336,A7BBF,HKJK,NBO,OTHH,DOH,BOEING,BOEING 777-200F,B77L,347500.0,2024-09-17 @ 17:09 UTC,2024-09-17 @ 17:52 UTC,00:43:00,29d2bc1e-032c-46b2-8cc5-a1ce93eb912e,b006670b-2e11-4ea1-8ff4-87abc9c5110b,43,43,2580,18060,4135.74,251,251,false,2024-09-17 15:23:00 UTC,2024-09-17 20:24:00 UTC,2024-09-17 15:10:00 UTC,2024-09-17 20:25:00 UTC
KEXE7FEFAZ,2024-09-17 15:00:00 UTC,,,,345.00,USD,345.00,USD,Somalia,ETHIOPIAN AIRLINES CORPORATION,XU4PWEKVF7,ETH379,ETALM,HCMM,MGQ,HAAB,ADD,BOEING,BOEING 737-700 700,B737,66320.0,2024-09-17 @ 15:00 UTC,2024-09-17 @ 15:38 UTC,00:38:00,5a75905f-db9e-4d2a-b2e2-b08c59424294,08648f60-7ecd-45e5-83b1-b38f13e8de9e,40,40,2280,6420,1238.83,71,71,false,2024-09-17 15:00:00 UTC,2024-09-17 16:47:00 UTC,2024-09-17 15:00:00 UTC,2024-09-17 17:00:00 UTC
H9TE47EPCF,2024-09-17 02:30:00 UTC,,,,395.00,USD,395.00,USD,Somalia,EMIRATES,X4MJMENRMC,UAE37R,A6EEA,OMDB,DXB,FAOR,JNB,AIRBUS,AIRBUS A-380-800,A388,560000.0,2024-09-17 @ 02:30 UTC,2024-09-17 @ 04:27 UTC,01:57:00,3e4c4851-2c60-4d7b-a34a-72e308d97a5b,448d6f27-06ef-49eb-a1c2-e4625f7c51b4,117,117,7020,27360,6660.0,322,322,false,2024-09-17 00:38:00 UTC,2024-09-17 08:14:00 UTC,,
W3YLAXKALN,2024-09-17 19:33:00 UTC,,,,395.00,USD,395.00,USD,Somalia,ETHIOPIAN AIRLINES CORPORATION,XU4PWEKVF7,ETH685C,ETAVB,ZSPD,PVG,HAAB,ADD,AIRBUS,AIRBUS A-350-900 XWB,A359,268000.0,2024-09-17 @ 19:33 UTC,2024-09-17 @ 19:33 UTC,00:00:00,3bf537ba-751b-4a63-a48f-5fd04e2683f5,80ba8825-e669-4b77-a5b7-9d8e23bfc80d,1,2,0,40500,8999.44,30,32,false,2024-09-17 16:20:00 UTC,2024-09-18 03:35:00 UTC,2024-09-17 16:20:00 UTC,2024-09-18 03:35:00 UTC
NAHEHQFX24,2024-09-17 14:28:00 UTC,,,,345.00,USD,345.00,USD,Somalia,ETHIOPIAN AIRLINES CORPORATION,XU4PWEKVF7,ETH688,ETAWI,HAAB,ADD,VIDP,DEL,BOEING,BOEING 737 MAX 8,B38M,82191.0,2024-09-17 @ 14:28 UTC,2024-09-17 @ 14:28 UTC,00:00:00,30f561e0-13ec-464a-af46-71948d2bfb18,c1c10d88-f200-43d6-bc92-579414cb6a06,2,2,0,21540,4820.78,220,220,false,2024-09-17 13:29:00 UTC,2024-09-17 19:28:00 UTC,2024-09-17 12:55:00 UTC,2024-09-17 19:35:00 UTC
DF9DFP9W9C,2024-09-17 23:10:00 UTC,,,,395.00,USD,395.00,USD,Somalia,EMIRATES,X4MJMENRMC,UAE714,A6ENE,,,OMDB,DXB,BOEING,BOEING 777-300ER,B77W,351500.0,2024-09-17 @ 23:10 UTC,2024-09-18 @ 00:35 UTC,01:25:00,116e115f-9403-43f6-8d2c-7258c36f5cd2,16560c50-c62c-48d9-ad5d-b0189ae5170a,36,36,5100,25440,6437.44,231,232,false,2024-09-17 19:35:00 UTC,2024-09-18 02:39:00 UTC,2024-09-17 19:35:00 UTC,2024-09-18 02:30:00 UTC
EWNUEUPHVW,2024-09-01 11:28:00 UTC,,,,345.00,USD,345.00,USD,Somalia,FREEDOM AIRLINES,MVEKTJTP9T,FDT102,5YFAH,HCMM,MGQ,HKJK,NBO,AIRBUS,AIRBUS A-320 ,A320,73900.0,2024-09-01 @ 11:28 UTC,2024-09-01 @ 12:09 UTC,00:41:00,c5ecda1e-58e7-4ae0-b3cf-4a2d25022416,62c29ddf-65bd-4fec-b944-9945144582b0,43,43,2460,5160,1025.82,86,86,false,2024-09-01 11:28:00 UTC,2024-09-01 12:54:00 UTC,2024-09-01 10:30:00 UTC,2024-09-01 12:00:00 UTC
VVKJ7WLWPN,2024-09-17 14:55:00 UTC,,,,395.00,USD,395.00,USD,Somalia,ETHIOPIAN AIRLINES CORPORATION,XU4PWEKVF7,ETH8804,ETARF,HAAB,ADD,OPIS,ISB,BOEING,BOEING Dreamliner (Srs.8),B788,228000.0,2024-09-17 @ 14:55 UTC,2024-09-17 @ 14:55 UTC,00:00:00,7dd016f5-9ca5-4f54-8e59-94a8b0ca7518,3e770129-0f61-4dc8-ab6d-8aa68ce08baa,2,2,0,20160,4766.06,192,192,false,2024-09-17 14:01:00 UTC,2024-09-17 19:37:00 UTC,,
EQ32QV4KJ3,2024-09-17 00:34:00 UTC,,,,345.00,USD,345.00,USD,Somalia,KENYA AIRWAYS LTD.,AK4EJKM49H,KQA203,5YCYD,VABB,BOM,HKJK,NBO,BOEING,BOEING 737-800,B738,70530.0,2024-09-17 @ 00:34 UTC,2024-09-17 @ 02:08 UTC,01:34:00,dd647202-9ce7-4ebc-83c3-85a61432e5d1,7307aafd-cb8b-4923-a498-2f2bd3cdf785,52,52,5640,20340,4692.49,225,225,false,2024-09-16 21:43:00 UTC,2024-09-17 03:22:00 UTC,2024-09-16 21:10:00 UTC,2024-09-17 03:25:00 UTC
7PYXEXTCN4,2024-09-01 09:57:00 UTC,,,,395.00,USD,395.00,USD,Somalia,OMAN AIR,PWYJYKMFN9,QTR42L,A4ODH,HTDA,DAR,OTHH,DOH,AIRBUS,AIRBUS A-330-200,A332,230000.0,2024-09-01 @ 09:57 UTC,2024-09-01 @ 12:05 UTC,02:08:00,6c763c2b-9e17-40c9-9a25-f8e0cb225502,4ea5c5fb-fa2c-4d89-851b-ca0c68d5450a,87,87,7680,19020,4435.47,199,199,false,2024-09-01 09:06:00 UTC,2024-09-01 14:23:00 UTC,2024-09-01 08:45:00 UTC,2024-09-01 14:30:00 UTC
TW7WDUDJHH,2024-09-17 15:37:00 UTC,,,,395.00,USD,395.00,USD,Somalia,EMIRATES,X4MJMENRMC,UAE4P,A6ENZ,HKJK,NBO,OMDB,DXB,BOEING,BOEING 777-300ER,B77W,351500.0,2024-09-17 @ 15:37 UTC,2024-09-17 @ 16:20 UTC,00:43:00,a074a611-ae89-4077-be80-a608a8542da7,f953e8f3-e3dd-4136-ae86-4a4f576c28ab,45,45,2580,17220,3901.87,228,228,false,2024-09-17 13:53:00 UTC,2024-09-17 18:40:00 UTC,2024-09-17 13:35:00 UTC,2024-09-17 18:40:00 UTC
WEWFTP9LKU,2024-09-17 15:21:00 UTC,,,,395.00,USD,395.00,USD,Somalia,KENYA AIRWAYS LTD.,AK4EJKM49H,KQA310,9HHFJ,HKJK,NBO,OMDB,DXB,AIRBUS,AIRBUS A-330-200,A332,230000.0,2024-09-17 @ 15:21 UTC,2024-09-17 @ 16:52 UTC,01:31:00,a2563b48-c5eb-41b7-ab48-39fbf53ebfc2,b257abc5-e919-4c06-a534-b1e02f91d28f,49,49,5460,17760,3892.39,238,238,false,2024-09-17 14:14:00 UTC,2024-09-17 19:10:00 UTC,2024-09-17 14:10:00 UTC,2024-09-17 19:25:00 UTC
YTQZQXD9MC,2024-09-17 15:07:00 UTC,,,,345.00,USD,345.00,USD,Somalia,KENYA AIRWAYS LTD.,AK4EJKM49H,KQA202,5YCYA,HKJK,NBO,VABB,BOM,BOEING,BOEING 737-800,B738,70530.0,2024-09-17 @ 15:07 UTC,2024-09-17 @ 16:49 UTC,01:42:00,f69ee090-7b28-4dea-9b9b-016fb90d088e,748b84fd-353d-4e1b-9bde-ec8b337ff837,55,55,6120,21120,4688.0,210,210,false,2024-09-17 14:04:00 UTC,2024-09-17 19:56:00 UTC,2024-09-17 13:45:00 UTC,2024-09-17 20:00:00 UTC
TUDCWJETMM,2024-09-17 18:47:00 UTC,,,,345.00,USD,345.00,USD,Somalia,FLYDUBAI,PVM4KVPCC4,FDB648,A6FQB,HAAB,ADD,OMDB,DXB,BOEING,BOEING 737 MAX 8,B38M,82191.0,2024-09-17 @ 18:47 UTC,2024-09-17 @ 19:16 UTC,00:29:00,2a707422-6506-435e-b281-d8d81207732e,1db3a713-7d62-4db6-8f59-f9f8f895d08d,31,31,1740,14160,3061.02,154,154,false,2024-09-17 17:48:00 UTC,2024-09-17 21:44:00 UTC,2024-09-17 17:20:00 UTC,2024-09-17 21:55:00 UTC
22ZQ4DVQYU,2024-09-17 18:08:00 UTC,,,,365.00,USD,365.00,USD,Somalia,AIR TANZANIA,EEPNT9RVR3,ATC504,5HTCO,HKJK,NBO,OMSJ,SHJ,BOEING,BOEING 767-300,B763,186880.0,2024-09-17 @ 18:08 UTC,2024-09-17 @ 20:11 UTC,02:03:00,cca00890-ed8a-450e-85dd-9721ad71305c,c05cf378-7c67-4a0f-84c6-e55442940c80,122,122,7380,17460,4004.75,235,235,false,2024-09-17 17:30:00 UTC,2024-09-17 22:21:00 UTC,,
Q4A4WTWF7C,2024-09-17 17:44:00 UTC,,,,395.00,USD,395.00,USD,Somalia,QATAR AIRWAYS COMPANY,VJRFT7T74N,QTR22G,A7BBB,FSIA,SEZ,OTHH,DOH,BOEING,BOEING 777-200LR BBJ,B77L,347500.0,2024-09-17 @ 17:44 UTC,2024-09-17 @ 17:44 UTC,00:00:00,c1389092-7629-43e1-bbd2-ebf05bd9f7c0,ca782d2c-adb0-458b-9c35-cec1826b5e9d,2,2,0,15780,3694.8,114,114,false,2024-09-17 15:31:00 UTC,2024-09-17 19:54:00 UTC,2024-09-17 15:30:00 UTC,2024-09-17 20:15:00 UTC
WVJYTKMVNZ,2024-09-17 12:54:00 UTC,,,,395.00,USD,395.00,USD,Somalia,EL AL - ISRAEL AIRLINES LTD.,VVYM9N3KFU,ELY088,4XECB,VTSP,HKT,LLBG,TLV,BOEING,BOEING 777-200,B772,247210.0,2024-09-17 @ 12:54 UTC,2024-09-17 @ 14:31 UTC,01:37:00,af3e4bc8-e053-4727-8545-d38d6b2631e4,14cc188c-9f5d-43c1-8638-baee1912bdcd,60,60,5820,37320,9326.06,262,262,false,2024-09-17 07:44:00 UTC,2024-09-17 18:06:00 UTC,2024-09-17 07:15:00 UTC,2024-09-17 17:55:00 UTC
C7ZD9D72PW,2024-09-17 13:38:00 UTC,,,,395.00,USD,395.00,USD,Somalia,EMIRATES,X4MJMENRMC,UAE726,A6ECF,HTDA,DAR,OMDB,DXB,BOEING,BOEING 777-300ER,B77W,351500.0,2024-09-17 @ 13:38 UTC,2024-09-17 @ 15:39 UTC,02:01:00,5abcb206-5027-4703-bd41-8354e55200fd,1327d83a-4878-4f78-86c1-ac93d161bd12,119,119,7260,18000,4209.13,215,215,false,2024-09-17 12:50:00 UTC,2024-09-17 17:50:00 UTC,2024-09-17 12:25:00 UTC,2024-09-17 17:50:00 UTC
MT2HP9ZQPZ,2024-09-17 16:10:00 UTC,,,,395.00,USD,395.00,USD,Somalia,EMIRATES,X4MJMENRMC,UAE6J,A6ENG,FACT,CPT,OMDB,DXB,BOEING,BOEING 777-300ER,B77W,351500.0,2024-09-17 @ 16:10 UTC,2024-09-17 @ 18:11 UTC,02:01:00,6b0c2f79-905e-4e07-bde6-ce031bc23e4c,84b7601c-ff02-4ff8-95a8-84c597918565,118,118,7260,32400,7948.25,329,329,false,2024-09-17 11:20:00 UTC,2024-09-17 20:20:00 UTC,2024-09-17 11:05:00 UTC,2024-09-17 20:35:00 UTC
UYPQ3E9ZVH,2024-09-01 14:06:00 UTC,,,,395.00,USD,395.00,USD,Somalia,EMIRATES,X4MJMENRMC,UAE721,A6ENG,OMDB,DXB,HKJK,NBO,BOEING,BOEING 777-300ER,B77W,351500.0,2024-09-01 @ 14:06 UTC,2024-09-01 @ 15:29 UTC,01:23:00,12fb1b4b-cd19-476a-bb04-1a95a23dffba,9643ede3-fa5f-44d0-9881-fa14abc6fc59,30,30,4980,16200,3886.31,204,204,false,2024-09-01 12:10:00 UTC,2024-09-01 16:40:00 UTC,2024-09-01 11:55:00 UTC,2024-09-01 17:00:00 UTC
YX9YFZEPQY,2024-09-17 15:51:00 UTC,,,,395.00,USD,395.00,USD,Somalia,EMIRATES,X4MJMENRMC,UAE730,A6EPN,HUEN,EBB,OMDB,DXB,BOEING,BOEING 777-300ER,B77W,351500.0,2024-09-17 @ 15:51 UTC,2024-09-17 @ 16:13 UTC,00:22:00,5f332c65-2f77-4d7c-ad8d-6c264ee7ef64,10fce539-72d5-4e33-a982-d6fd1c136994,24,24,1320,17940,4171.3,133,133,false,2024-09-17 13:43:00 UTC,2024-09-17 18:42:00 UTC,2024-09-17 13:25:00 UTC,2024-09-17 18:50:00 UTC
