Bill,Fir Start Date,Bill Date,Accounting Date,Due Date,Total,Total Currency,Outstanding,Outstanding Currency,Country,Operator,Operator Ref ID,Call Sign,Aircraft Registration,Origin ICAO Code,Origin IATA Code,Destination ICAO Code,Destination IATA Code,Aircraft Manufacturer,Aircraft Model,Aircraft Model ICAO Code,Aircraft Model MTOW (kg),Fir Started,Fir Ended,Duration,Flight ID,Flight Segment ID,Flight Segment Observed Point Count,Flight Segment Point Count,Flight Segment Duration Seconds,Flight Duration Seconds,Flight Length Km,Flight Path Observed Point Count,Flight Path Point Count,Manually Updated,Flight Takeoff,Flight Landing,Departure Scheduled Utc,Arrival Scheduled Utc,key,key_2
JLYQQLXPMW,2024-08-21 14:30:00,nan,nan,nan,345.0,USD,345.0,USD,Somalia,EGYPT AIR,VPAWR4HTKH,MSR873,SUGDB,HECA,CAI,HCMM,MGQ,BOEING,BOEING 737-800,B738,70530.0,2024-08-09 09:22:00,2024-08-09 09:47:00,00:25:00,2e2a3f70-7050-4a9d-b4ad-1f3d53f7034a,af3e8900-7f50-4800-81e0-96d0eb34dd03,31,31,1500,21360,3537.48,39,39,False,2024-08-09 03:52:00,2024-08-09 09:48:00,2024-08-09 04:30:00 UTC,2024-08-09 07:25:00 UTC,SUGDB_HECA_HCMM_B738,SUGDB_HECA_HCMM_B738_2024-08-09 09:22:00
99DPYUDLLY,2024-08-01 11:25:00,nan,nan,nan,345.0,USD,345.0,USD,Somalia,EGYPT AIR,VPAWR4HTKH,MSR873,SUGDB,HECA,CAI,HCMM,MGQ,BOEING,BOEING 737-800,B738,70530.0,2024-08-09 09:22:00,2024-08-09 09:47:00,00:25:00,8d7c885c-2020-4f43-b95d-f72244a8bd5e,77022e94-1c1f-4920-9652-6348806f9544,30,31,1500,1560,3524.77,26,27,False,2024-08-09 09:22:00,2024-08-09 09:48:00,2024-08-09 04:30:00 UTC,2024-08-09 07:25:00 UTC,SUGDB_HECA_HCMM_B738,SUGDB_HECA_HCMM_B738_2024-08-09 09:22:00
QFWTFX3PEL,2024-08-04 10:18:00,nan,nan,nan,345.0,USD,345.0,USD,Somalia,EGYPT AIR,VPAWR4HTKH,MSR873,SUGDB,HECA,CAI,HCMM,MGQ,BOEING,BOEING 737-800,B738,70530.0,2024-08-09 09:22:00,2024-08-09 09:47:00,00:25:00,2591d80f-28f8-460a-a671-fd69895afae7,77d5a19b-b464-45a1-a41e-b4f92ee5020f,30,31,1500,1560,3524.77,26,27,False,2024-08-09 09:22:00,2024-08-09 09:48:00,2024-08-09 04:30:00 UTC,2024-08-09 07:25:00 UTC,SUGDB_HECA_HCMM_B738,SUGDB_HECA_HCMM_B738_2024-08-09 09:22:00
